Trait	nSNP	overall_p	mscomp	File_ID	First_Author	Year	Reference	Trait_ID_2.0	Trait_long	Trait_class	N0	N1	N	SNP_number	Chip	Population	Collection	FDR.overall
ASPAT_SinnottArmstrong_33462484_1	1640	2.92805322694471e-29	PC7 (8e-13)	ASPAT_SinnottArmstrong_33462484_1-hg38.tsv.gz	SinnottArmstrong	2021	33462484	ASPAT	Aspartate aminotransferase	BMK	361854	0	361854		Multiple (UKBB data & others)	Trans-ethnic	UKBB	5.33806626758382e-28
AST2ALT_SinnottArmstrong_33462484_1	1640	4.74114415413319e-36	PC10 (2e-20)	AST2ALT_SinnottArmstrong_33462484_1-hg38.tsv.gz	SinnottArmstrong	2021	33462484	AST2ALT	AST to ALT ratio	BMK	361764	0	361764		Multiple (UKBB data & others)	Trans-ethnic	UKBB	9.77087969156144e-35
ASTAO_Ferreira_30929738_1	1651	1.07621492596946e-94	PC5 (9e-88)	ASTAO_Ferreira_30929738_1-hg38.tsv.gz	Ferreira	2019	30929738	ASTAO	Adult-onset Asthma	IMD	300671	26582	327253	8984056		European		2.14166770267923e-92
ASTCO_Ferreira_30929738_1	1651	2.00597650046038e-111	PC5 (2e-99)	ASTCO_Ferreira_30929738_1-hg38.tsv.gz	Ferreira	2019	30929738	ASTCO	Childhood-onset Asthma	IMD	300671	13962	314633	9019597		European		7.98378647183231e-109
ASTER_Ferreira_29083406_1	1661	2.11929503395013e-30	PC5 (4e-32)	ASTER_Ferreira_29083406_1-hg38.tsv.gz	Ferreira	2017	29083406	ASTER	Asthma and/or Eczema and/or Rhinitis	IMD	34934	83335	118269	13794598		European		3.5144975979673e-29
ASTHMA_ACUTE_RESPIRATORY_INFECTIONS_FinnGen_FinnGenR7_1	1655	2.86205376694848e-29	PC5 (2e-25)	ASTHMA_ACUTE_RESPIRATORY_INFECTIONS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	Asthma-related acute respiratory infections (FinnGen)	INF	276803	12013	288816			European (Finnish)	FinnGen	3.82084177887622e-27
ASTHMA_ALLERG_EXMORE_FinnGen_FinnGenR7_1	1655	4.55444047590694e-20	PC5 (7e-18)	ASTHMA_ALLERG_EXMORE_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	ASTHMA_ALLERG_EXMORE	Asthma and allergy (more controls excluded) (FinnGen)	IMD	175182	4512	179694			European (Finnish)	FinnGen	5.33137443944401e-19
ASTHMA_ALLERG_FinnGen_FinnGenR7_1	1655	4.34212025478206e-20	PC5 (7e-18)	ASTHMA_ALLERG_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	ASTHMA_ALLERG	Asthma and allergy (FinnGen)	IMD	180942	4512	185454			European (Finnish)	FinnGen	5.23686018607048e-19
ASTHMA_CHILD_EXMORE_FinnGen_FinnGenR7_1	1655	7.92650178726794e-16	PC5 (3e-13)	ASTHMA_CHILD_EXMORE_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	ASTHMA_CHILD_EXMORE	Childhood asthma (age<16) (more controls excluded) (FinnGen)	IMD	175182	4549	179731			European (Finnish)	FinnGen	9.01356488952183e-15
ASTHMA_CHILD_FinnGen_FinnGenR7_1	1655	8.30302504557261e-16	PC5 (3e-13)	ASTHMA_CHILD_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	ASTHMA_CHILD	Childhood asthma (age<16) (FinnGen)	IMD	180942	4549	185491			European (Finnish)	FinnGen	9.17945546704972e-15
ASTHMA_EOSINOPHIL_SUGG_FinnGen_FinnGenR7_1	1655	2.69011117071197e-25	PC5 (2e-21)	ASTHMA_EOSINOPHIL_SUGG_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	ASTHMA_EOSINOPHIL_SUGG	Suggestive for eosinophilic asthma (FinnGen)	IMD	276803	1884	278687			European (Finnish)	FinnGen	3.82380087836916e-24
ASTHMA_HOSPITAL_MAIN_FinnGen_FinnGenR7_1	1655	1.57613159947538e-50	PC5 (6e-45)	ASTHMA_HOSPITAL_MAIN_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	ASTHMA_HOSPITAL_MAIN	Asthma, hospital admissions , main diagnosis only (FinnGen)	IMD	282796	26358	309154			European (Finnish)	FinnGen	6.27300376591201e-49
ASTHMA_INFECTIONS_FinnGen_FinnGenR7_1	1655	5.50128409675446e-35	PC5 (4e-27)	ASTHMA_INFECTIONS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	ASTHMA_INFECTIONS	Asthma-related infections (FinnGen)	INF	276803	16439	293242			European (Finnish)	FinnGen	1.46884285383344e-32
ASTHMA_MIXED_EXMORE_FinnGen_FinnGenR7_1	1655	0.000255251759479923	PC5 (7e-08)	ASTHMA_MIXED_EXMORE_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	ASTHMA_MIXED_EXMORE	Asthma mixed form (mode) (more controls excluded) (FinnGen)	IMD	175182	2836	178018			European (Finnish)	FinnGen	0.00105823125284385
ASTHMA_MIXED_FinnGen_FinnGenR7_1	1655	0.00022152241441266	PC5 (6e-08)	ASTHMA_MIXED_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	ASTHMA_MIXED	Asthma mixed form (FinnGen)	IMD	180942	2836	183778			European (Finnish)	FinnGen	0.000948020655228373
ASTHMA_MODE_FinnGen_FinnGenR7_1	1655	6.99252842990547e-60	PC5 (6e-49)	ASTHMA_MODE_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	ASTHMA_MODE	Asthma (mode) (FinnGen)	IMD	181596	32351	213947			European (Finnish)	FinnGen	5.56605263020475e-58
ASTHMA_NAS_EXMORE_FinnGen_FinnGenR7_1	1655	4.6094956754653e-32	PC5 (4e-30)	ASTHMA_NAS_EXMORE_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	ASTHMA_NAS_EXMORE	Asthma, unspecified (mode) (more controls excluded) (FinnGen)	IMD	175182	20883	196065			European (Finnish)	FinnGen	8.44884442080545e-31
ASTHMA_NAS_FinnGen_FinnGenR7_1	1655	2.43568090130822e-32	PC5 (2e-30)	ASTHMA_NAS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	ASTHMA_NAS	Asthma (unspecified) (FinnGen)	IMD	180942	20883	201825			European (Finnish)	FinnGen	4.84700499360336e-31
ASTHMA_NONALLERG_FinnGen_FinnGenR7_1	1655	2.42981564973948e-15	PC5 (4e-10)	ASTHMA_NONALLERG_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	ASTHMA_NONALLERG	Non-allergic asthma (mode) (FinnGen)	IMD	300320	8833	309153			European (Finnish)	FinnGen	2.47965802204183e-14
ASTHMA_OBESITY_FinnGen_FinnGenR7_1	1655	3.89520152447341e-09	PC5 (3e-13)	ASTHMA_OBESITY_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	ASTHMA_OBESITY	Obesity related asthma (FinnGen)	OTH	276803	7164	283967			European (Finnish)	FinnGen	2.95458248967465e-07
ASTHMA_PNEUMONIA_AND_SEPSIS_FinnGen_FinnGenR7_1	1655	3.09374648011509e-14	PC5 (1e-11)	ASTHMA_PNEUMONIA_AND_SEPSIS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	ASTHMA_PNEUMONIA_AND_SEPSIS	Asthma-related pneumonia or sepsis (FinnGen)	INF	276803	9038	285841			European (Finnish)	FinnGen	1.65206062038146e-12
ASTHMA_PNEUMONIA_FinnGen_FinnGenR7_1	1655	2.57651472113757e-14	PC5 (1e-11)	ASTHMA_PNEUMONIA_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	ASTHMA_PNEUMONIA	Asthma-related pneumonia (FinnGen)	INF	276803	9023	285826			European (Finnish)	FinnGen	1.65206062038146e-12
AST_Daya_30787307_1	1630	0.00266772348444217	PC5 (2e-04)	AST_Daya_30787307_1-hg38.tsv.gz	Daya	2019	30787307	AST	Asthma	IMD	7645	7009	14654	22398193		African		0.00857140304732072
AST_Demenais_29273806_1	1661	3.11184816298118e-40	PC5 (4e-39)	AST_Demenais_29273806_1-hg38.tsv.gz	Demenais	2018	29273806	AST	Asthma	IMD	107715	19954	127669	2001256		European		9.52704283743469e-39
AST_Demenais_29273806_2	1661	1.2365131895782e-43	PC5 (5e-42)	AST_Demenais_29273806_2-hg38.tsv.gz	Demenais	2018	29273806	AST	Asthma	IMD	118538	23948	142486	2001256		Trans-ethnic (European + Asian + African + Hispanic/Latin American)		4.1011020787677e-42
AST_Moffatt_20860503_1	1511	2.9706132729425e-14	PC5 (5e-18)	AST_Moffatt_20860503_1-hg38.tsv.gz	Moffatt	2010	20860503	AST	Asthma	IMD	16110	10365	26475	567589		European		2.95576020657779e-13
ATOPIC_STRICT_FinnGen_FinnGenR7_1	1655	3.04237948873511e-07	PC5 (2e-07)	ATOPIC_STRICT_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	ATOPIC_STRICT	Atopic dermatitis, strict definition (FinnGen)	IMD	300873	7895	308768			European (Finnish)	FinnGen	1.92201116907393e-06
ATOPIC_STRICT_REIMB_FinnGen_FinnGenR7_1	1655	1.14822579032912e-07	PC5 (2e-07)	ATOPIC_STRICT_REIMB_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	ATOPIC_STRICT_REIMB	Atopic dermatitis, strict definition with reimbursement (FinnGen)	IMD	278634	8281	286915			European (Finnish)	FinnGen	7.61656440918316e-07
AUTOIMMUNE_FinnGen_FinnGenR7_1	1655	5.34956451773681e-39	PC8 (2e-18)	AUTOIMMUNE_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	AUTOIMMUNE	Autoimmune diseases (FinnGen)	IMD	232612	76542	309154			European (Finnish)	FinnGen	1.33070417378703e-37
AUTOIMMUNE_NONTHYROID_FinnGen_FinnGenR7_1	1655	5.34956451773681e-39	PC8 (2e-18)	AUTOIMMUNE_NONTHYROID_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	AUTOIMMUNE_NONTHYROID	Autoimmune diseases excluding thyroid diseases (FinnGen)	IMD	232612	76542	309154			European (Finnish)	FinnGen	1.33070417378703e-37
AUTOIMMUNE_NONTHYROID_STRICT_FinnGen_FinnGenR7_1	1655	5.34956451773681e-39	PC8 (2e-18)	AUTOIMMUNE_NONTHYROID_STRICT_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	AUTOIMMUNE_NONTHYROID_STRICT	Autoimmune diseases excluding thyroid diseases, strict definition (FinnGen)	IMD	232612	76542	309154			European (Finnish)	FinnGen	1.33070417378703e-37
BASC_Chen_32888493_2	1661	0	PC2 (0e+00)	BASC_Chen_32888493_2-hg38.tsv.gz	Chen	2020	32888493	BASC	Basophil count	BC	522680	0	522680		Multiple (See publication)	European (Inc. UKBB)		0
BASC_Chen_32888493_5	1661	0	PC2 (0e+00)	BASC_Chen_32888493_5-hg38.tsv.gz	Chen	2020	32888493	BASC	Basophil count	BC	626345	0	626345		Multiple (See publication)	Trans-ethnic (EUR, AFR, EAS, SAS, HA)		0
BASC_Chen_32888493_6	1661	1.46612299749225e-51	PC6 (2e-17)	BASC_Chen_32888493_6-hg38.tsv.gz	Chen	2020	32888493	BASC	Basophil count	BC	626345	0	626345		Multiple (See publication)	Trans-ethnic (EUR, AFR, EAS, SAS, HA)		2.48469265890792e-51
BASC_Ferreira_19853236_1	1332	0.00390801963310101	PC11 (7e-03)	BASC_Ferreira_19853236_1-hg38.tsv.gz	Ferreira	2009	19853236	BASC	Basophil count	BC	6015	0	6015	1872254	Illumina (Australian cohort) and Perlegen (Dutch cohort) chips	European (Dutch + Australian)		0.00425129162790042
BASC_Kanai_29403010_1	1515	1.34079329901235e-37	PC11 (5e-14)	BASC_Kanai_29403010_1-hg38.tsv.gz	Kanai	2018	29403010	BASC	Basophil count	BC	62076	0	62076	6108953	Illumina HumanOmniExpressExome BeadChip	East Asian (Japanese)	Jenger Riken	2.15867721140988e-37
BASC_Sakaue_doi1011012020102320213652_1	1562	2.70291906125179e-12	PC11 (4e-02)	BASC_Sakaue_doi1011012020102320213652_1-hg38.tsv.gz	Sakaue	2021	doi1011012020102320213652	BASC	Basophil count	BC	91908	0	91908		HumanOmniExpressExome BeadChip, Illumina HumanOmniExpress, HumanExome BeadChips	East Asian (Japanese)	BBJ	3.48135975089231e-12
BASC_Vuckovic_32888494_1	1661	0	PC2 (0e+00)	BASC_Vuckovic_32888494_1-hg38.tsv.gz	Vuckovic	2020	32888494	BASC	Basophil count	BC	408112	0	408112			European (UK, UKBB)	UKBB	0
BASPL_Vuckovic_32888494_1	1661	0	PC11 (0e+00)	BASPL_Vuckovic_32888494_1-hg38.tsv.gz	Vuckovic	2020	32888494	BASPL	Basophil percentage of Leukocytes	BC	408112	0	408112			European (UK, UKBB)	UKBB	0
BILD_SinnottArmstrong_33462484_1	1640	1.38281003526101e-162	PC7 (2e-88)	BILD_SinnottArmstrong_33462484_1-hg38.tsv.gz	SinnottArmstrong	2021	33462484	BILD	Direct bilirubin	BMK	308695	0	308695		Multiple (UKBB data & others)	Trans-ethnic	UKBB	1.6386298917843e-160
BIL_Sakaue_doi1011012020102320213652_1	1562	2.89526759161117e-09	PC7 (5e-06)	BIL_Sakaue_doi1011012020102320213652_1-hg38.tsv.gz	Sakaue	2021	doi1011012020102320213652	BIL	Total Bilirubin	BMK	124341	0	124341		HumanOmniExpressExome BeadChip, Illumina HumanOmniExpress, HumanExome BeadChips	East Asian (Japanese)	BBJ	3.43089209605924e-08
BIL_SinnottArmstrong_33462484_1	1640	0	PC7 (2e-190)	BIL_SinnottArmstrong_33462484_1-hg38.tsv.gz	SinnottArmstrong	2021	33462484	BIL	Total Bilirubin	BMK	361681	0	361681		Multiple (UKBB data & others)	Trans-ethnic	UKBB	0
BRONCHITIS_FinnGen_FinnGenR7_1	1655	0.000221739002625288	PC8 (5e-05)	BRONCHITIS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	BRONCHITIS	Bronchitis (FinnGen)	INF	267035	42119	309154			European (Finnish)	FinnGen	0.00370026960630949
C3_BASAL_CELL_CARCINOMA_FinnGen_FinnGenR7_1	1655	6.10893383197601e-05	PC3 (3e-03)	C3_BASAL_CELL_CARCINOMA_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	C3_BASAL_CELL_CARCINOMA	Basal cell carcinoma (FinnGen)	CAN	295073	14081	309154			European (Finnish)	FinnGen	0.00792634164698887
CALC_Sakaue_doi1011012020102320213652_1	1561	0.000663444577549491	PC10 (3e-02)	CALC_Sakaue_doi1011012020102320213652_1-hg38.tsv.gz	Sakaue	2021	doi1011012020102320213652	CALC	Calcium	BMK	83980	0	83980		HumanOmniExpressExome BeadChip, Illumina HumanOmniExpress, HumanExome BeadChips	East Asian (Japanese)	BBJ	0.00398066746529695
CALC_SinnottArmstrong_33462484_1	1640	1.54207286794154e-107	PC8 (2e-46)	CALC_SinnottArmstrong_33462484_1-hg38.tsv.gz	SinnottArmstrong	2021	33462484	CALC	Calcium	BMK	332355	0	332355		Multiple (UKBB data & others)	Trans-ethnic	UKBB	1.04420362772041e-105
CD3TC_Ferreira_20045101_1	1645	2.91234004582893e-07	PC8 (1e-07)	CD3TC_Ferreira_20045101_1-hg38.tsv.gz	Ferreira	2010	20045101	CD3TC	CD3+ T-lymphocyte count	BC	2538	0	2538	2354458	Illumina 610-Quad BeadChip	European (Australian)		3.42253100276247e-07
CD40L_Folkersen_33067605_1	1661	2.57446356170337e-05	PC8 (7e-05)	CD40L_Folkersen_33067605_1-hg38.tsv.gz	Folkersen	2020	33067605	CD40L	CD40 ligand (CD154) levels	BMK	21758	0	21758		Multiple (see paper)	European		0.000200048480040557
CD4TC_Ferreira_20045101_1	1645	1.13022465547631e-05	PC8 (3e-06)	CD4TC_Ferreira_20045101_1-hg38.tsv.gz	Ferreira	2010	20045101	CD4TC	CD4+ T-lymphocyte count	BC	2538	0	2538	2354458	Illumina 610-Quad BeadChip	European (Australian)		1.29054020944458e-05
CD8TC_Ferreira_20045101_1	1645	0.000944278056701743	PC8 (2e-05)	CD8TC_Ferreira_20045101_1-hg38.tsv.gz	Ferreira	2010	20045101	CD8TC	CD8+ T-lymphocyte count	BC	2538	0	2538	2354458	Illumina 610-Quad BeadChip	European (Australian)		0.00104847425606194
CD_Brant_27693347_1	1651	0.00157824726871969	PC9 (4e-05)	CD_Brant_27693347_1-hg38.tsv.gz	Brant	2017	27693347	CD	Crohn's Disease	IMD	5002	1646	6648	11386981		African (African Americans)		0.00532324078771557
CD_DeLange_28067908_1	1661	9.76132313193372e-33	PC2 (3e-17)	CD_DeLange_28067908_1-hg38.tsv.gz	DeLange	2017	28067908	CD	Crohn's Disease	IMD	28072	12194	40266	9469592		European		2.04474031921559e-31
CD_Liu_26192919_1	1656	9.43247009631777e-16	PC2 (2e-08)	CD_Liu_26192919_1-hg38.tsv.gz	Liu	2015	26192919	CD	Crohn's Disease	IMD	14957	5956	20913	11002658	Affymetrix GeneChip Human Mapping 500K, Affymetrix Genome-Wide Human SNP Array 6.0, Illumina HumanHap300 BeadChip and Illumina HumanHap550 BeadChip arrays	European		1.01462786441472e-14
CEL_Dubois_20190752_1	1661	0.00140583155570731	PC5 (3e-05)	CEL_Dubois_20190752_1-hg38.tsv.gz	Dubois	2010	20190752	CEL	Celiac Disease	IMD	10750	4533	15283	523390	Illumina 670-Quad and 1.2M-Duo/Illumina 610-Quad	European		0.00486539964496965
CHILDHOOD_ALLERGY_FinnGen_FinnGenR7_1	1655	1.88077798497553e-06	PC5 (2e-07)	CHILDHOOD_ALLERGY_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	CHILDHOOD_ALLERGY	Childhood allergy (age < 16) (FinnGen)	IMD	305042	4112	309154			European (Finnish)	FinnGen	1.06935662574323e-05
CHOL_SinnottArmstrong_33462484_1	1640	1.5139062642352e-56	PC1 (3e-21)	CHOL_SinnottArmstrong_33462484_1-hg38.tsv.gz	SinnottArmstrong	2021	33462484	CHOL	Cholesterol	BMK	363194	0	363194		Multiple (UKBB data & others)	Trans-ethnic	UKBB	4.48494730779678e-55
COPD_ASTHMA_INFECTIONS_FinnGen_FinnGenR7_1	1655	5.39079498160547e-12	PC8 (5e-11)	COPD_ASTHMA_INFECTIONS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	COPD_ASTHMA_INFECTIONS	COPD/asthma related infections (FinnGen)	INF	219049	90105	309154			European (Finnish)	FinnGen	2.05620322869809e-10
COPD_ASTHMA_PNEUMONIA_SEPSIS_FinnGen_FinnGenR7_1	1655	0.000133770383858037	PC8 (1e-06)	COPD_ASTHMA_PNEUMONIA_SEPSIS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	COPD_ASTHMA_PNEUMONIA_SEPSIS	COPD/asthma related pneumonia or pneumonia derived septichaemia (FinnGen)	INF	219049	43752	262801			European (Finnish)	FinnGen	0.00255119232072113
COPD_EARLY_EXMORE_FinnGen_FinnGenR7_1	1655	0.00035573579588633	PC5 (2e-04)	COPD_EARLY_EXMORE_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	COPD_EARLY_EXMORE	Early onset COPD (more controls excluded) (FinnGen)	IMD	181596	5587	187183			European (Finnish)	FinnGen	0.00140181036398772
COPD_HOSPITAL_FinnGen_FinnGenR7_1	1655	7.0462128671433e-06	PC5 (8e-08)	COPD_HOSPITAL_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	COPD_HOSPITAL	COPD, hospital admissions (FinnGen)	IMD	296735	12419	309154			European (Finnish)	FinnGen	3.68999042253031e-05
COPD_MODE_FinnGen_FinnGenR7_1	1655	1.41961781799956e-07	PC5 (3e-09)	COPD_MODE_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	COPD_MODE	COPD (mode) (FinnGen)	IMD	182685	12681	195366			European (Finnish)	FinnGen	9.11303050909395e-07
CORV_Chen_32888493_1	1661	4.66157457576685e-28	PC1 (3e-18)	CORV_Chen_32888493_1-hg38.tsv.gz	Chen	2020	32888493	CORV	Mean corpuscular volume	BC	7634	0	7634		Multiple (See publication)	African		7.08031610092889e-28
CORV_Chen_32888493_2	1661	0	PC1 (0e+00)	CORV_Chen_32888493_2-hg38.tsv.gz	Chen	2020	32888493	CORV	Mean corpuscular volume	BC	595365	0	595365		Multiple (See publication)	European (Inc. UKBB)		0
CORV_Chen_32888493_3	1649	9.3048781386141e-07	PC1 (2e-04)	CORV_Chen_32888493_3-hg38.tsv.gz	Chen	2020	32888493	CORV	Mean corpuscular volume	BC	121047	0	121047		Multiple (See publication)	East Asian		1.07775926641501e-06
CORV_Chen_32888493_4	1660	5.92174529296073e-71	PC1 (2e-30)	CORV_Chen_32888493_4-hg38.tsv.gz	Chen	2020	32888493	CORV	Mean corpuscular volume	BC	9298	0	9298		Multiple (See publication)	Latin American (Hispanic American / Latinos)		1.05933443574075e-70
CORV_Chen_32888493_5	1661	0	PC1 (0e+00)	CORV_Chen_32888493_5-hg38.tsv.gz	Chen	2020	32888493	CORV	Mean corpuscular volume	BC	748046	0	748046		Multiple (See publication)	Trans-ethnic (EUR, AFR, EAS, SAS, HA)		0
CORV_Chen_32888493_6	1661	0	PC1 (0e+00)	CORV_Chen_32888493_6-hg38.tsv.gz	Chen	2020	32888493	CORV	Mean corpuscular volume	BC	748046	0	748046		Multiple (See publication)	Trans-ethnic (EUR, AFR, EAS, SAS, HA)		0
CORV_Ferreira_19853236_1	1332	6.0203040196449e-49	PC7 (4e-24)	CORV_Ferreira_19853236_1-hg38.tsv.gz	Ferreira	2009	19853236	CORV	Mean corpuscular volume	BC	6015	0	6015	1872254	Illumina (Australian cohort) and Perlegen (Dutch cohort) chips	European (Dutch + Australian)		9.99246337281267e-49
CORV_Kanai_29403010_1	1515	0	PC1 (8e-192)	CORV_Kanai_29403010_1-hg38.tsv.gz	Kanai	2018	29403010	CORV	Mean corpuscular volume	BC	108256	0	108256	6108953	Illumina HumanOmniExpressExome BeadChip	East Asian (Japanese)	Jenger Riken	0
CORV_Sakaue_doi1011012020102320213652_1	1562	0	PC7 (1e-133)	CORV_Sakaue_doi1011012020102320213652_1-hg38.tsv.gz	Sakaue	2021	doi1011012020102320213652	CORV	Mean corpuscular volume	BC	129832	0	129832		HumanOmniExpressExome BeadChip, Illumina HumanOmniExpress, HumanExome BeadChips	East Asian (Japanese)	BBJ	0
CORV_Vuckovic_32888494_1	1661	0	PC1 (0e+00)	CORV_Vuckovic_32888494_1-hg38.tsv.gz	Vuckovic	2020	32888494	CORV	Mean corpuscular volume	BC	408112	0	408112			European (UK, UKBB)	UKBB	0
CREAP_SinnottArmstrong_33462484_1	1640	6.16827208154141e-115	PC2 (2e-72)	CREAP_SinnottArmstrong_33462484_1-hg38.tsv.gz	SinnottArmstrong	2021	33462484	CREAP	C-reactive protein	BMK	362443	0	362443		Multiple (UKBB data & others)	Trans-ethnic	UKBB	4.87293494441771e-113
CREAT_SinnottArmstrong_33462484_1	1640	3.40959456929462e-25	PC8 (6e-19)	CREAT_SinnottArmstrong_33462484_1-hg38.tsv.gz	SinnottArmstrong	2021	33462484	CREAT	Creatinine	BMK	363070	0	363070		Multiple (UKBB data & others)	Trans-ethnic	UKBB	5.57292353739879e-24
CSTC_SinnottArmstrong_33462484_1	1640	2.16921420991462e-54	PC8 (4e-30)	CSTC_SinnottArmstrong_33462484_1-hg38.tsv.gz	SinnottArmstrong	2021	33462484	CSTC	Cystatin C	BMK	363090	0	363090		Multiple (UKBB data & others)	Trans-ethnic	UKBB	5.7122640861085e-53
